epoch,train_loss,train_accuracy,eval_loss,eval_accuracy,epsilon,delta,learning_rate
40,1.572351,0.444581,1.706207,0.4262,4.125635,1e-05,0.07011468646141583
41,1.581932,0.4415,1.716862,0.4225,4.179303,1e-05,0.06859130258346513
42,1.583854,0.444948,1.625264,0.4306,4.23297,1e-05,0.06704764406336007
43,1.584437,0.446311,1.621952,0.4348,4.285818,1e-05,0.06548539886902863
44,1.582768,0.4485,1.704236,0.4281,4.338314,1e-05,0.06390627529265415
45,1.603304,0.44185,1.648626,0.4408,4.390553,1e-05,0.06231200008268292
46,1.600842,0.442414,1.669374,0.433,4.441887,1e-05,0.06070431655565017
47,1.587771,0.447849,1.686362,0.426,4.493222,1e-05,0.05908498268988888
48,1.600122,0.44865,1.654708,0.4403,4.543913,1e-05,0.057455769203206504
49,1.600501,0.452925,1.71548,0.434,4.594097,1e-05,0.05581845761663084
50,1.608061,0.452392,1.770769,0.4207,4.644282,1e-05,0.05417483830634301
51,1.598566,0.453167,1.683134,0.4435,4.693672,1e-05,0.05252670854592747
52,1.621604,0.450356,1.778156,0.4271,4.742716,1e-05,0.05087587054107961
53,1.617798,0.451882,1.746708,0.4351,4.791761,1e-05,0.0492241294589204
54,1.623632,0.457568,1.779987,0.429,4.840116,1e-05,0.04757329145407256
55,1.635062,0.458683,1.708776,0.4454,4.888031,1e-05,0.04592516169365701
56,1.630059,0.460276,1.753657,0.4418,4.935946,1e-05,0.04428154238336919
57,1.639285,0.457955,1.761901,0.446,4.983552,1e-05,0.0426442307967935
58,1.621378,0.463044,1.81543,0.4473,5.030346,1e-05,0.041015017310111125
59,1.636074,0.465217,1.876758,0.4264,5.07714,1e-05,0.03939568344434986
60,1.626778,0.465533,1.798088,0.442,5.123934,1e-05,0.0377879999173171
61,1.627878,0.46622,1.850321,0.4385,5.169989,1e-05,0.03619372470734589
62,1.627971,0.470719,1.76628,0.4464,5.215672,1e-05,0.0346146011309714
63,1.640373,0.470895,1.834852,0.442,5.261355,1e-05,0.03305235593663994
64,1.652244,0.470929,1.80963,0.4465,5.307039,1e-05,0.031508697416534885
65,1.64632,0.473054,1.808648,0.4591,5.351896,1e-05,0.02998531353858419
66,1.638088,0.477687,1.78272,0.4594,5.396477,1e-05,0.02848387010069229
67,1.625689,0.478343,1.789126,0.4483,5.441058,1e-05,0.027006008909214556
68,1.644898,0.475998,1.992303,0.4268,5.485639,1e-05,0.025553345983666122
69,1.632899,0.484245,1.903014,0.4494,5.529683,1e-05,0.024127469789628302
70,1.65617,0.478849,1.906665,0.4493,5.573171,1e-05,0.02272993950178479
71,1.638556,0.483694,1.831829,0.4449,5.616659,1e-05,0.02136228329898697
72,1.646113,0.485824,1.838413,0.4551,5.660147,1e-05,0.020025996693212898
73,1.653319,0.48413,1.84988,0.464,5.703635,1e-05,0.018722540894246825
74,1.6496,0.48597,1.857865,0.4579,5.7462,1e-05,0.017453341211867774
75,1.652623,0.484353,1.784512,0.4699,5.788603,1e-05,0.016219785497294244
76,1.676472,0.487298,1.889853,0.4598,5.831006,1e-05,0.015023222625589196
77,1.660695,0.485689,1.794504,0.4649,5.873409,1e-05,0.013864961020685108
